Word,Correct
action,1
cation,0
cation,0
atcion,0
ation,0
atcion,0
aciton,0
acion,0
aciton,0
actoin,0
acton,0
actoin,0
actino,0
actin,0
actino,0
activity,1
cativity,0
cativity,0
atcivity,0
ativity,0
atcivity,0
acitvity,0
acivity,0
acitvity,0
actviity,0
actvity,0
actviity,0
actiivty,0
actiity,0
actiivty,0
activtiy,0
activty,0
activtiy,0
activiyt,0
activiy,0
activiyt,0
actually,1
catually,0
catually,0
atcually,0
atually,0
atcually,0
acutally,0
acually,0
acutally,0
actaully,0
actally,0
actaully,0
actulaly,0
actully,0
actulaly,0
actually,0
actualy,0
actually,0
actualyl,0
actualy,0
actualyl,0
add,1
dad,0
dad,0
add,0
ad,0
add,0
address,1
dadress,0
dadress,0
address,0
adress,0
address,0
adrdess,0
adress,0
adrdess,0
adderss,0
addess,0
adderss,0
addrses,0
addrss,0
addrses,0
address,0
addres,0
address,0
administration,1
daministration,0
daministration,0
amdinistration,0
aministration,0
amdinistration,0
adimnistration,0
adinistration,0
adimnistration,0
admniistration,0
admnistration,0
admniistration,0
admiinstration,0
admiistration,0
admiinstration,0
adminsitration,0
adminstration,0
adminsitration,0
adminitsration,0
adminitration,0
adminitsration,0
adminisrtation,0
adminisration,0
adminisrtation,0
administartion,0
administation,0
administartion,0
administrtaion,0
administrtion,0
administrtaion,0
administraiton,0
administraion,0
administraiton,0
administratoin,0
administraton,0
administratoin,0
administratino,0
administratin,0
administratino,0
admit,1
damit,0
damit,0
amdit,0
amit,0
amdit,0
adimt,0
adit,0
adimt,0
admti,0
admt,0
admti,0
adult,1
dault,0
dault,0
audlt,0
ault,0
audlt,0
adlut,0
adlt,0
adlut,0
adutl,0
adut,0
adutl,0
affect,1
fafect,0
fafect,0
affect,0
afect,0
affect,0
afefct,0
afect,0
afefct,0
affcet,0
affct,0
affcet,0
affetc,0
affet,0
affetc,0
after,1
fater,0
fater,0
atfer,0
ater,0
atfer,0
afetr,0
afer,0
afetr,0
aftre,0
aftr,0
aftre,0
again,1
gaain,0
gaain,0
aagin,0
aain,0
aagin,0
agian,0
agin,0
agian,0
agani,0
agan,0
agani,0
beautiful,1
ebautiful,0
ebautiful,0
baeutiful,0
bautiful,0
baeutiful,0
beuatiful,0
beutiful,0
beuatiful,0
beatuiful,0
beatiful,0
beatuiful,0
beauitful,0
beauiful,0
beauitful,0
beautfiul,0
beautful,0
beautfiul,0
beautiufl,0
beautiul,0
beautiufl,0
beautiflu,0
beautifl,0
beautiflu,0
because,1
ebcause,0
ebcause,0
bceause,0
bcause,0
bceause,0
beacuse,0
beause,0
beacuse,0
becuase,0
becuse,0
becuase,0
becasue,0
becase,0
becasue,0
becaues,0
becaue,0
becaues,0
become,1
ebcome,0
ebcome,0
bceome,0
bcome,0
bceome,0
beocme,0
beome,0
beocme,0
becmoe,0
becme,0
becmoe,0
becoem,0
becoe,0
becoem,0
bed,1
ebd,0
ebd,0
bde,0
bd,0
bde,0
before,1
ebfore,0
ebfore,0
bfeore,0
bfore,0
bfeore,0
beofre,0
beore,0
beofre,0
befroe,0
befre,0
befroe,0
befoer,0
befoe,0
befoer,0
begin,1
ebgin,0
ebgin,0
bgein,0
bgin,0
bgein,0
beign,0
bein,0
beign,0
begni,0
begn,0
begni,0
behavior,1
ebhavior,0
ebhavior,0
bheavior,0
bhavior,0
bheavior,0
beahvior,0
beavior,0
beahvior,0
behvaior,0
behvior,0
behvaior,0
behaivor,0
behaior,0
behaivor,0
behavoir,0
behavor,0
behavoir,0
behaviro,0
behavir,0
behaviro,0
behind,1
ebhind,0
ebhind,0
bheind,0
bhind,0
bheind,0
beihnd,0
beind,0
beihnd,0
behnid,0
behnd,0
behnid,0
behidn,0
behid,0
behidn,0
believe,1
eblieve,0
eblieve,0
bleieve,0
blieve,0
bleieve,0
beileve,0
beieve,0
beileve,0
beleive,0
beleve,0
beleive,0
belivee,0
belive,0
belivee,0
belieev,0
beliee,0
belieev,0
benefit,1
ebnefit,0
ebnefit,0
bneefit,0
bnefit,0
bneefit,0
beenfit,0
beefit,0
beenfit,0
benfeit,0
benfit,0
benfeit,0
beneift,0
beneit,0
beneift,0
benefti,0
beneft,0
benefti,0
best,1
ebst,0
ebst,0
bset,0
bst,0
bset,0
bets,0
bet,0
bets,0
better,1
ebtter,0
ebtter,0
bteter,0
btter,0
bteter,0
better,0
beter,0
better,0
betetr,0
beter,0
betetr,0
bettre,0
bettr,0
bettre,0
between,1
ebtween,0
ebtween,0
bteween,0
btween,0
bteween,0
bewteen,0
beween,0
bewteen,0
betewen,0
beteen,0
betewen,0
between,0
betwen,0
between,0
betwene,0
betwen,0
betwene,0
center,1
ecnter,0
ecnter,0
cneter,0
cnter,0
cneter,0
cetner,0
ceter,0
cetner,0
cenetr,0
cener,0
cenetr,0
centre,0
centr,0
centre,0
central,1
ecntral,0
ecntral,0
cnetral,0
cntral,0
cnetral,0
cetnral,0
cetral,0
cetnral,0
cenrtal,0
cenral,0
cenrtal,0
centarl,0
cental,0
centarl,0
centrla,0
centrl,0
centrla,0
century,1
ecntury,0
ecntury,0
cnetury,0
cntury,0
